flyerId,storeName,storeAddress,productName,brand,salePrice,regularPrice,unitSize,validUnit,imageUrl,validFrom,validTo,category,postalCode
7632751,"Walmart","N/A","Conair Extreme Steam Handheld Garment Steamer","N/A",$44.88,$59.97,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Selected Video Games for Playstation 5","N/A",$39.96,$89.96,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Dedica Duo espresso machine","N/A",$249.98,$349.98,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Terra Sparkling Water Maker","N/A",$64.98,$99.98,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Selected video games for 5 Nintendo Switch","N/A",$59.96,$84.96,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Selected Video Games for Nintendo Switch","N/A",$59.96,$84.96,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Mega Science Lab activity kit","N/A",$39.97,$69.97,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Marcy home gym workout station","N/A",$1249.99,$1859.00,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Babycorns magical babydolls","N/A",$13.97,$24.97,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Auusda 15.6"" Laptop, Win 11 Pro, 16GB RAM/512GB SSD","N/A",$439.99,$1399.99,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Selected Barbie vehicles","N/A",$19.97,$31.97,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Xiaomi 27"" 165 Hz HDR gaming monitor","N/A",$189.99,$259.99,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","little tikes My first appliances","N/A",$29.97,$64.97,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Hot Wheels Monster Trucks Arena Smashers playsets","N/A",$24.97,$49.97,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Young Jedi Adventures: The Crimson Firehawk","N/A",$49.86,$64.86,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
7632751,"Walmart","N/A","Don't AsK black mini jewellery travel case","N/A",$14.99,$24.99,"N/A",each,"N/A",2025-11-27T00:00:00-05:00,2025-12-03T23:59:59-05:00,"N/A",T2P3M3
